PatientID,SampleID,SampleType
TCGA-CH-5761,TCGA-CH-5761-01A-11R-1580-07,Tumour
TCGA-CH-5761,TCGA-CH-5761-11A-01R-1580-07,Normal
TCGA-CH-5767,TCGA-CH-5767-01A-11R-1789-07,Tumour
TCGA-CH-5767,TCGA-CH-5767-11B-01R-1789-07,Normal
TCGA-CH-5768,TCGA-CH-5768-01A-11R-1580-07,Tumour
TCGA-CH-5768,TCGA-CH-5768-11A-01R-1580-07,Normal
TCGA-CH-5769,TCGA-CH-5769-01A-11R-1580-07,Tumour
TCGA-CH-5769,TCGA-CH-5769-11A-01R-1580-07,Normal
TCGA-EJ-7115,TCGA-EJ-7115-01A-11R-2118-07,Tumour
TCGA-EJ-7115,TCGA-EJ-7115-11A-01R-2118-07,Normal
TCGA-EJ-7123,TCGA-EJ-7123-01A-11R-1965-07,Tumour
TCGA-EJ-7123,TCGA-EJ-7123-11A-01R-1965-07,Normal
TCGA-EJ-7125,TCGA-EJ-7125-01A-11R-1965-07,Tumour
TCGA-EJ-7125,TCGA-EJ-7125-11A-01R-1965-07,Normal
TCGA-EJ-7314,TCGA-EJ-7314-01A-31R-2118-07,Tumour
TCGA-EJ-7314,TCGA-EJ-7314-11A-01R-2118-07,Normal
TCGA-EJ-7315,TCGA-EJ-7315-01A-31R-2118-07,Tumour
TCGA-EJ-7315,TCGA-EJ-7315-11A-01R-2118-07,Normal
TCGA-EJ-7317,TCGA-EJ-7317-01A-31R-2118-07,Tumour
TCGA-EJ-7317,TCGA-EJ-7317-11A-01R-2118-07,Normal
TCGA-EJ-7321,TCGA-EJ-7321-01A-31R-2263-07,Tumour
TCGA-EJ-7321,TCGA-EJ-7321-11A-01R-2263-07,Normal
TCGA-EJ-7327,TCGA-EJ-7327-01A-11R-2118-07,Tumour
TCGA-EJ-7327,TCGA-EJ-7327-11A-01R-2118-07,Normal
TCGA-EJ-7328,TCGA-EJ-7328-01A-31R-2118-07,Tumour
TCGA-EJ-7328,TCGA-EJ-7328-11A-01R-2118-07,Normal
TCGA-EJ-7330,TCGA-EJ-7330-01A-11R-2118-07,Tumour
TCGA-EJ-7330,TCGA-EJ-7330-11A-01R-2118-07,Normal
TCGA-EJ-7331,TCGA-EJ-7331-01A-11R-2118-07,Tumour
TCGA-EJ-7331,TCGA-EJ-7331-11A-01R-2118-07,Normal
TCGA-EJ-7781,TCGA-EJ-7781-01A-11R-2118-07,Tumour
TCGA-EJ-7781,TCGA-EJ-7781-11A-01R-2118-07,Normal
TCGA-EJ-7782,TCGA-EJ-7782-01A-11R-2118-07,Tumour
TCGA-EJ-7782,TCGA-EJ-7782-11A-01R-2118-07,Normal
TCGA-EJ-7783,TCGA-EJ-7783-01A-11R-2118-07,Tumour
TCGA-EJ-7783,TCGA-EJ-7783-11A-01R-2118-07,Normal
TCGA-EJ-7784,TCGA-EJ-7784-01A-11R-2118-07,Tumour
TCGA-EJ-7784,TCGA-EJ-7784-11A-01R-2118-07,Normal
TCGA-EJ-7785,TCGA-EJ-7785-01A-11R-2118-07,Tumour
TCGA-EJ-7785,TCGA-EJ-7785-11A-01R-2118-07,Normal
TCGA-EJ-7786,TCGA-EJ-7786-01A-11R-2118-07,Tumour
TCGA-EJ-7786,TCGA-EJ-7786-11A-01R-2118-07,Normal
TCGA-EJ-7789,TCGA-EJ-7789-01A-11R-2118-07,Tumour
TCGA-EJ-7789,TCGA-EJ-7789-11A-01R-2118-07,Normal
TCGA-EJ-7792,TCGA-EJ-7792-01A-11R-2118-07,Tumour
TCGA-EJ-7792,TCGA-EJ-7792-11A-01R-2118-07,Normal
TCGA-EJ-7793,TCGA-EJ-7793-01A-31R-2263-07,Tumour
TCGA-EJ-7793,TCGA-EJ-7793-11A-01R-2263-07,Normal
TCGA-EJ-7794,TCGA-EJ-7794-01A-11R-2118-07,Tumour
TCGA-EJ-7794,TCGA-EJ-7794-11A-01R-2118-07,Normal
TCGA-EJ-7797,TCGA-EJ-7797-01A-11R-2263-07,Tumour
TCGA-EJ-7797,TCGA-EJ-7797-11A-01R-2263-07,Normal
TCGA-EJ-A8FO,TCGA-EJ-A8FO-01A-21R-A36G-07,Tumour
TCGA-EJ-A8FO,TCGA-EJ-A8FO-11A-11R-A36G-07,Normal
TCGA-G9-6333,TCGA-G9-6333-01A-12R-1965-07,Tumour
TCGA-G9-6333,TCGA-G9-6333-11A-01R-1965-07,Normal
TCGA-G9-6342,TCGA-G9-6342-01A-11R-1965-07,Tumour
TCGA-G9-6342,TCGA-G9-6342-11A-02R-1965-07,Normal
TCGA-G9-6348,TCGA-G9-6348-01A-11R-1789-07,Tumour
TCGA-G9-6348,TCGA-G9-6348-11A-01R-1789-07,Normal
TCGA-G9-6351,TCGA-G9-6351-01A-21R-1965-07,Tumour
TCGA-G9-6351,TCGA-G9-6351-11A-01R-1965-07,Normal
TCGA-G9-6356,TCGA-G9-6356-01A-11R-1789-07,Tumour
TCGA-G9-6356,TCGA-G9-6356-11A-01R-1789-07,Normal
TCGA-G9-6362,TCGA-G9-6362-01A-11R-1789-07,Tumour
TCGA-G9-6362,TCGA-G9-6362-11A-01R-1789-07,Normal
TCGA-G9-6363,TCGA-G9-6363-01A-21R-1789-07,Tumour
TCGA-G9-6363,TCGA-G9-6363-11A-01R-1789-07,Normal
TCGA-G9-6365,TCGA-G9-6365-01A-11R-1789-07,Tumour
TCGA-G9-6365,TCGA-G9-6365-11A-01R-1789-07,Normal
TCGA-G9-6384,TCGA-G9-6384-01A-11R-1789-07,Tumour
TCGA-G9-6384,TCGA-G9-6384-11A-01R-1858-07,Normal
TCGA-G9-6496,TCGA-G9-6496-01A-11R-1789-07,Tumour
TCGA-G9-6496,TCGA-G9-6496-11A-01R-1789-07,Normal
TCGA-G9-6499,TCGA-G9-6499-01A-12R-1965-07,Tumour
TCGA-G9-6499,TCGA-G9-6499-11A-02R-1965-07,Normal
TCGA-HC-7211,TCGA-HC-7211-01A-11R-2118-07,Tumour
TCGA-HC-7211,TCGA-HC-7211-11A-01R-2118-07,Normal
TCGA-HC-7737,TCGA-HC-7737-01A-11R-2118-07,Tumour
TCGA-HC-7737,TCGA-HC-7737-11A-02R-2118-07,Normal
TCGA-HC-7738,TCGA-HC-7738-01A-11R-2118-07,Tumour
TCGA-HC-7738,TCGA-HC-7738-11A-01R-2118-07,Normal
TCGA-HC-7740,TCGA-HC-7740-01A-11R-2118-07,Tumour
TCGA-HC-7740,TCGA-HC-7740-11A-01R-2118-07,Normal
TCGA-HC-7742,TCGA-HC-7742-01A-11R-2118-07,Tumour
TCGA-HC-7742,TCGA-HC-7742-11A-01R-2118-07,Normal
TCGA-HC-7745,TCGA-HC-7745-01A-11R-2118-07,Tumour
TCGA-HC-7745,TCGA-HC-7745-11A-01R-2118-07,Normal
TCGA-HC-7747,TCGA-HC-7747-01A-11R-2118-07,Tumour
TCGA-HC-7747,TCGA-HC-7747-11A-01R-2118-07,Normal
TCGA-HC-7752,TCGA-HC-7752-01A-11R-2118-07,Tumour
TCGA-HC-7752,TCGA-HC-7752-11A-01R-2118-07,Normal
TCGA-HC-7819,TCGA-HC-7819-01A-11R-2118-07,Tumour
TCGA-HC-7819,TCGA-HC-7819-11A-01R-2118-07,Normal
TCGA-HC-8258,TCGA-HC-8258-01A-11R-2263-07,Tumour
TCGA-HC-8258,TCGA-HC-8258-01B-05R-2302-07,Normal
TCGA-HC-8259,TCGA-HC-8259-01A-11R-2263-07,Tumour
TCGA-HC-8259,TCGA-HC-8259-11A-01R-2263-07,Normal
TCGA-HC-8260,TCGA-HC-8260-01A-11R-2263-07,Tumour
TCGA-HC-8260,TCGA-HC-8260-11A-01R-2263-07,Normal
TCGA-HC-8262,TCGA-HC-8262-01A-11R-2263-07,Tumour
TCGA-HC-8262,TCGA-HC-8262-11A-01R-2263-07,Normal
TCGA-HC-8265,TCGA-HC-8265-01A-11R-2263-07,Tumour
TCGA-HC-8265,TCGA-HC-8265-01B-04R-2302-07,Normal
TCGA-J4-A83J,TCGA-J4-A83J-01A-11R-A36G-07,Tumour
TCGA-J4-A83J,TCGA-J4-A83J-11A-11R-A36G-07,Normal
TCGA-V1-A9O5,TCGA-V1-A9O5-01A-11R-A41O-07,Tumour
TCGA-V1-A9O5,TCGA-V1-A9O5-06A-11R-A41O-07,Normal
